date,1. open,5. volume,2. high,4. close,3. low
2015-09-04,507.99,210412.0,511.57,508.4,506.24
2015-09-08,515.35,249578.0,521.42,520.64,513.12
2015-09-09,523.15,286975.0,523.69,509.97,508.55
2015-09-10,509.28,184706.0,517.0,511.54,501.01
2015-09-11,510.41,203229.0,517.91,515.3,506.94
2015-09-14,515.7,179054.0,515.7,510.58,507.39
2015-09-15,508.74,191304.0,517.12,513.77,507.01
2015-09-16,513.72,127578.0,515.44,514.5,510.66
2015-09-17,515.5,211330.0,526.49,519.24,515.5
2015-09-18,515.89,422350.0,518.233,511.46,510.87
2015-09-21,512.05,365971.0,514.52,504.94,501.5
2015-09-22,501.34,503457.0,504.04,494.21,488.8
2015-09-23,493.79,384944.0,495.82,489.88,488.8
2015-09-24,487.59,209406.0,492.81,491.16,486.0
2015-09-25,492.99,332983.0,494.8,475.91,473.73
2015-09-28,475.27,500620.0,475.66,463.51,461.29
2015-09-29,466.07,476522.0,469.27,455.47,450.585
2015-09-30,459.51,343842.0,465.9999,459.58,456.855
2015-10-01,459.99,504728.0,461.505,455.57,448.82
2015-10-02,451.98,707058.0,465.24,464.87,450.0101
2015-10-05,469.25,377754.0,476.5,468.81,464.01
2015-10-06,466.69,234571.0,467.12,459.6,455.51
2015-10-07,460.54,257899.0,467.21,466.7,458.27
2015-10-08,464.84,251991.0,469.17,468.41,460.96
2015-10-09,467.94,248408.0,476.35,469.65,464.2964
2015-10-12,468.44,384020.0,468.56,460.84,459.05
2015-10-13,453.51,474628.0,462.46,456.41,447.0
2015-10-14,457.11,368677.0,459.75,454.86,451.5
2015-10-15,457.09,296038.0,464.01,462.31,451.76
2015-10-16,465.78,223250.0,468.16,467.33,461.05
2015-10-19,467.56,468718.0,480.0438,478.44,467.36
2015-10-20,478.0,564504.0,480.375,473.01,471.01
2015-10-21,518.95,1133624.0,519.98,499.41,498.36
2015-10-22,501.63,691769.0,501.9199,496.18,483.11
2015-10-23,497.27,496747.0,505.55,500.03,495.9
2015-10-26,499.56,250508.0,500.255,496.55,493.7101
2015-10-27,495.75,175219.0,499.12,496.76,492.4
2015-10-28,497.3,279227.0,500.46,500.02,492.22
2015-10-29,499.44,267324.0,502.41,500.28,495.05
2015-10-30,500.56,354167.0,504.97,496.6,496.34
2015-11-02,497.1,243106.0,504.99,504.26,496.81
2015-11-03,503.66,284086.0,506.9,503.41,499.28
2015-11-04,502.5,229088.0,505.46,501.45,500.11
2015-11-05,501.85,326767.0,504.33,499.35,496.0
2015-11-06,495.36,208613.0,502.45,500.96,495.06
2015-11-09,500.95,209071.0,503.998,498.04,496.09
2015-11-10,498.99,272021.0,503.57,502.56,495.38
2015-11-11,503.41,244176.0,504.52,498.61,497.87
2015-11-12,501.07,353226.0,503.5,500.0,498.84
2015-11-13,498.33,326535.0,504.0,498.79,496.005
2015-11-16,498.33,269466.0,502.865,500.91,498.26
2015-11-17,499.96,228488.0,504.725,498.51,497.22
2015-11-18,498.55,304987.0,508.35,507.36,497.69
2015-11-19,507.2,210681.0,507.2,504.17,501.47
2015-11-20,507.67,403607.0,516.9,516.57,507.16
2015-11-23,515.69,382450.0,521.95,519.09,515.69
2015-11-24,517.22,297973.0,520.99,516.74,512.78
2015-11-25,517.28,160367.0,520.0,517.87,515.01
2015-11-27,519.1,77594.0,521.05,519.24,516.88
2015-11-30,520.9,254686.0,522.69,520.02,517.81
2015-12-01,521.03,311419.0,524.75,522.25,516.5701
2015-12-02,522.71,216281.0,524.83,517.56,516.79
2015-12-03,517.69,311453.0,520.9,508.66,504.05
2015-12-04,509.41,235680.0,523.87,521.4,509.41
2015-12-07,520.0,369866.0,527.89,522.52,518.94
2015-12-08,520.09,294401.0,522.3056,513.14,512.4
2015-12-09,511.91,247020.0,516.97,513.65,508.99
2015-12-10,511.62,322285.0,529.88,526.04,509.12
2015-12-11,520.22,400723.0,529.52,523.47,519.6
2015-12-14,522.97,387946.0,533.04,528.75,521.1
2015-12-15,530.53,446005.0,543.06,537.06,524.92
2015-12-16,540.87,259973.0,546.86,545.13,534.32
2015-12-17,544.08,274987.0,547.94,539.07,536.91
2015-12-18,534.69,569768.0,543.34,534.18,533.08
2015-12-21,536.39,257698.0,539.99,539.32,533.75
2015-12-22,541.65,208346.0,544.34,541.45,535.82
2015-12-23,544.98,221200.0,548.98,547.73,539.68
2015-12-24,548.67,102124.0,549.0,547.45,545.375
2015-12-28,546.58,160092.0,549.5,547.11,542.57
2015-12-29,549.77,273132.0,556.6,553.37,548.01
2015-12-30,554.97,189540.0,555.63,552.51,551.3201
2015-12-31,550.61,180555.0,552.88,546.16,545.75
2016-01-04,547.16,531311.0,549.83,547.39,538.8
2016-01-05,549.05,364065.0,554.04,551.96,544.0
2016-01-06,547.3,504030.0,556.74,553.24,543.05
2016-01-07,545.46,588952.0,556.55,536.9,536.36
2016-01-08,539.66,337476.0,543.16,536.54,533.01
2016-01-11,540.56,460293.0,547.27,539.58,530.79
2016-01-12,544.66,305429.0,547.13,542.12,535.0
2016-01-13,562.44,948155.0,572.01,545.14,544.365
2016-01-14,549.29,584056.0,557.4699,555.77,538.13
2016-01-15,540.24,589790.0,558.0,557.25,539.94
2016-01-19,558.54,533202.0,566.3499,556.49,552.5301
2016-01-20,552.34,517510.0,561.79,554.56,538.02
2016-01-21,556.51,691668.0,559.9,555.6,541.63
2016-01-22,568.88,747760.0,580.0,566.11,555.95
2016-01-25,563.88,460572.0,570.605,558.22,556.75
2016-01-26,550.0,439447.0,554.99,545.24,541.93
2016-01-27,546.24,366859.0,547.555,534.02,531.97
2016-01-28,535.65,441655.0,538.865,526.59,520.5
2016-01-29,527.59,467966.0,541.24,540.85,527.59
2016-02-01,539.0,329255.0,546.35,543.16,537.66
2016-02-02,539.42,235384.0,544.875,539.35,534.085
2016-02-03,543.48,317291.0,545.31,545.1,532.07
2016-02-04,543.65,425403.0,553.95,551.93,537.12
2016-02-05,551.0,645943.0,554.43,536.24,533.95
2016-02-08,530.56,644464.0,530.56,507.28,502.035
2016-02-09,507.14,459235.0,520.5,508.82,502.01
2016-02-10,510.04,341772.0,528.92,524.41,510.04
2016-02-11,514.33,339653.0,525.0,521.55,514.33
2016-02-12,523.15,223159.0,534.52,531.28,517.21
2016-02-16,536.0,335459.0,536.0,535.16,525.64
2016-02-17,535.54,315578.0,542.5,541.86,532.0
2016-02-18,540.86,250559.0,544.93,542.62,538.1
2016-02-19,538.65,261350.0,547.05,546.34,530.46
2016-02-22,549.0,249435.0,552.0,551.51,543.4
2016-02-23,547.15,234380.0,553.0,548.9,544.1
2016-02-24,544.01,369888.0,554.985,553.65,544.01
2016-02-25,555.0,437004.0,559.78,559.28,546.45
2016-02-26,560.0,673745.0,570.11,567.47,556.999
2016-02-29,566.47,472020.0,569.87,563.06,562.46
2016-03-01,564.23,517964.0,574.5,571.49,561.39
2016-03-02,567.37,552279.0,574.5,573.81,567.33
2016-03-03,570.01,327534.0,576.0,574.04,568.33
2016-03-04,574.46,365238.0,575.955,570.65,568.21
2016-03-07,570.45,312920.0,576.37,572.69,565.02
2016-03-08,568.31,248360.0,572.8,566.86,565.61
2016-03-09,570.03,306834.0,573.57,572.9,565.05
2016-03-10,571.9,271854.0,574.72,573.7,566.9
2016-03-11,575.0,333363.0,584.3,580.45,573.22
2016-03-14,580.06,514792.0,595.985,593.07,575.175
2016-03-15,587.13,504970.0,594.71,587.4,583.36
2016-03-16,582.81,344787.0,594.23,587.38,582.675
2016-03-17,588.54,582733.0,590.0,562.35,561.02
2016-03-18,565.99,635810.0,583.52,583.05,562.6
2016-03-21,582.0,381213.0,589.21,582.99,577.5
2016-03-22,579.62,367220.0,591.85,591.03,577.4
2016-03-23,591.23,279292.0,595.98,586.33,586.15
2016-03-24,583.32,320356.0,584.07,583.31,575.82
2016-03-28,585.7,205359.0,586.78,584.17,580.46
2016-03-29,583.15,340356.0,604.0,603.07,581.995
2016-03-30,607.75,294082.0,607.75,598.28,594.03
2016-03-31,599.28,225360.0,605.485,601.05,595.19
2016-04-01,595.19,457331.0,606.54,606.5,591.04
2016-04-04,607.5,509060.0,627.94,622.06,603.28
2016-04-05,617.52,318500.0,619.25,612.92,609.36
2016-04-06,611.92,377638.0,628.54,626.12,611.92
2016-04-07,625.88,270630.0,625.88,614.78,609.02
2016-04-08,620.93,260198.0,626.8,619.77,615.17
2016-04-11,623.04,229889.0,626.92,620.2,618.8
2016-04-12,626.4,291435.0,629.37,625.51,619.45
2016-04-13,626.85,329520.0,630.67,627.01,622.25
2016-04-14,627.01,160942.0,628.5959,623.09,622.0
2016-04-15,624.48,285436.0,627.99,624.22,620.03
2016-04-18,624.57,372461.0,629.2,626.98,621.37
2016-04-19,627.0,659968.0,627.69,623.71,617.23
2016-04-20,644.97,697495.0,654.88,644.56,641.94
2016-04-21,643.56,247115.0,648.865,641.91,639.08
2016-04-22,631.5,419602.0,640.0,638.15,627.9
2016-04-25,632.92,311145.0,642.33,638.74,632.54
2016-04-26,640.0,297338.0,640.0,632.5,630.32
