,date,id,sentiment_compound,sentiment_neg,sentiment_pos,sentiment_neu,symbol,t-3_perc,t-2_perc,t-1_perc,t0_perc,t1_perc,t2_perc,t3_perc
0,2012-11-19 05:00:00,12-1384,0.986,0.043000000000000003,0.092,0.865,swk,-0.006546644844517169,0.009585143028306042,0.036344755970924236,0.0028628685943314913,-0.0004282043962318127,0.0194202484649435,0.0004202269225381805
1,2012-11-19 05:00:00,12-1384,0.986,0.043000000000000003,0.092,0.865,hon,-0.01050700466977994,-0.0030338783077701326,0.021808960270498723,0.002812706816677668,-0.0003299785513940501,0.01105793035154301,-0.009794319294809006
2,2012-11-19 05:00:00,12-1384,0.986,0.043000000000000003,0.092,0.865,xom,0.0008132915069130053,0.003598792663106698,0.014112203585887828,-0.0019390897684499198,0.005828571428571516,0.012271332803090562,-0.0052755640363677525
3,2012-11-19 05:00:00,12-1384,0.986,0.043000000000000003,0.092,0.865,hes,-0.012921461740359352,0.00040908161178143665,0.03230423226334089,-0.018617548029312814,0.011099899091826515,0.02035928143712562,-0.02386541471048509
4,2012-11-19 05:00:00,12-1384,0.986,0.043000000000000003,0.092,0.865,bwa,0.008139345596614111,-0.0029065073470047054,0.028178137651821977,0.0004725153567490814,0.0031486146095718315,0.024795982423100993,-0.007963246554364423
5,2012-11-19 05:00:00,12-1384,0.986,0.043000000000000003,0.092,0.865,txt,-0.002586206896551646,-0.0008643042350907626,0.019463667820069253,-0.00042426813746299086,0.0012733446519526126,0.008054260279779513,0.001261564339781307
6,2012-11-19 05:00:00,12-1384,0.986,0.043000000000000003,0.092,0.865,utx,0.0025452109845947035,0.00547835382148576,0.017674418604651132,0.0014364063724210396,0.00834528621723818,0.016552437605069192,0.0008904719501336977
7,2012-12-12 05:00:00,12-1488,0.9931000000000001,0.069,0.117,0.8140000000000001,pfe,-0.005868544600938885,0.009051554506100068,-0.005070202808112323,-0.007056056448451753,-0.005921831819976298,0.0069499602859413034,0.011240386511536249
8,2012-12-12 05:00:00,12-1488,0.9931000000000001,0.069,0.117,0.8140000000000001,pfe,-0.005868544600938885,0.009051554506100068,-0.005070202808112323,-0.007056056448451753,-0.005921831819976298,0.0069499602859413034,0.011240386511536249
9,2012-08-07 04:00:00,12-980,0.9954000000000001,0.059000000000000004,0.135,0.806,pfe,0.015050167224080147,-0.0008237232289950436,-0.021434460016488188,0.0037910699241785473,0.0016785564414605325,0.0029325513196480912,-0.009189640768588192
10,2011-10-21 04:00:00,11-1389,0.9958,0.059000000000000004,0.17500000000000002,0.767,pfe,,,,,,,
11,2011-10-21 04:00:00,11-1389,0.9958,0.059000000000000004,0.17500000000000002,0.767,pfe,,,,,,,
12,2010-12-20 05:00:00,10-1464,0.9976,0.046,0.14300000000000002,0.811,abt,0.009143807148794814,-0.0032948929159802853,-0.0026859504132230594,-0.005593536357986428,-0.0033333333333332993,-0.0006270903010033857,-0.008993934323363262
13,2010-12-07 05:00:00,10-1398,0.9983000000000001,0.056,0.132,0.812,abt,-0.005040957781978661,-0.009499683343888399,-0.0006393861892582953,-0.0034122414160803194,0.008559811684142993,0.01039677487799695,-0.0029399412011760218
14,2011-12-14 05:00:00,11-1635,0.9931000000000001,0.037,0.132,0.8310000000000001,mo,0.003127171646976956,0.004156563907169897,-0.008968609865470767,0.013226592412112659,0.0010305736860185544,0.006863417982155173,0.017723244717109843
15,2012-12-18 05:00:00,12-1513,-0.9972000000000001,0.169,0.054,0.777,hpq,0.01724137931034475,-0.0366101694915254,0.022519352568613593,-0.010323468685478177,0.00347705146036148,-0.006237006237006182,-0.023012552301255207
16,2012-12-18 05:00:00,12-1513,-0.9972000000000001,0.169,0.054,0.777,aapl,-0.03756159262965131,0.017724806490464706,0.029046123007536062,-0.014216145345570363,-0.008701715718872904,-0.0046004620779090954,0.0016136175456837876
17,2012-02-01 05:00:00,12-150,-0.9966,0.14,0.09,0.769,ba,-0.005231388329979936,0.00026968716289110795,0.016042059854408208,-0.00199018176993504,0.014889657006115442,-0.011527377521613924,-0.0034455340577788096
18,2012-05-11 04:00:00,12-617,-0.8934000000000001,0.097,0.08700000000000001,0.8160000000000001,ba,,,,,,,
19,2011-09-28 04:00:00,11-1278,-0.2837,0.078,0.089,0.833,fb,,,,,,,
20,2010-03-08 05:00:00,10-232,-0.9806,0.14200000000000002,0.105,0.753,nsc,0.004787437763309033,0.009529254812273624,0.0,0.014536530111383783,0.0024190547078526414,0.009095971783924295,0.0016556291390728006
21,2018-05-02 04:00:00,18-561,0.9904000000000001,0.048,0.109,0.843,hon,-0.015313414551146765,-0.0011750069118054984,-0.010587502594976095,0.002657714365645658,0.0036969866071425717,0.0018764333866148064,0.0004855715871254773
22,2009-11-06 05:00:00,09-1203,0.802,0.08600000000000001,0.109,0.805,hd,,,,,,,
23,2012-03-28 04:00:00,12-391,0.9741000000000001,0.091,0.127,0.782,uhs,0.02170835299669638,-0.015704387990762125,-0.023463162834350126,0.003844305622296984,0.00311153662039243,0.010737294201861092,0.018649669499527732
24,2012-03-28 04:00:00,12-391,0.9741000000000001,0.091,0.127,0.782,uhs,0.02170835299669638,-0.015704387990762125,-0.023463162834350126,0.003844305622296984,0.00311153662039243,0.010737294201861092,0.018649669499527732
25,2009-01-12 05:00:00,09-028,-0.9908,0.10400000000000001,0.07200000000000001,0.8240000000000001,rad,0.0,-0.02857142857142847,-0.02941176470588236,0.1212121212121211,-0.05405405405405406,-0.05714285714285705,0.303030303030303
